title,artist,winner,year,lyrics
Go, and if strangers revile, pass quietly by without answer.
Go, and if curious friends ask of thy rearing and age,
Say, 'I am flitting about many years from brain unto brain of
Feeble and restless youths born to inglorious days:
But,' so finish the word, 'I was writ in a Roman chamber,
When from Janiculan heights thundered the cannon of France.'Embed"
The Theme From A Summer Place,Percy Faith & His Orchestra,1,1960,"Theme from “A Summer Place” LyricsThere's a summer place
Where it may rain or storm
Yet I'm safe and warm
For within that summer place
Your arms reach out to me
And my heart is free from all care

For it knows
There are no gloomy skies
When seen through the eyes
Of those who are blessed with love

And the sweet secret of
A summer place
Is that it's anywhere
Where two people share
All their hopes
All their dreams
All their love

There's a summer place
Where it may rain or storm
Yet I'm safe and warm
In your arms, in your arms
In your arms, in your arms
In your arms, in your armsYou might also likeEmbed"
Nice 'N Easy (Single),Frank Sinatra,0,1960,"Who Do You Think You Are? Lyrics[Verse 1]
Lookin' for a lady, walkin' through the bar
Supercool 'n' easy, he's a superstar
Talkin' to the cutie, looking pretty shy
""Move your hips around and make me smile""
""I'm the one you're looking for
'Cause I am the guy""
She just turns around and says:
""Kiss my ass goodbye""

[Chorus]
Who do you think you are, to look at me like this?
Who do you think you are? Not a single kiss
Who do you think you are? You're talking much too loud
Who do you think you are? Get back into the crowd

[Verse 2]
Now he's getting' closer, gettin' in my sight
Oh, my God he's seen me; it's too late to hide away
Heavy metal monkey, silly looks and walk
Rock 'n' roll pretender, now he starts to talk, to talk:
""Nice to see ya, how's it goin'?""
Blah-blah-blah-blah
I say, ""Why don't you turn around
And get back to the b-b-bar?""
You might also like[Chorus]
Who do you think you are, to talk to me like this?
Who do you think you are? I got you on my list
Who are you? You're talking much too loud
Who do you think you are? Get back into the crowd

[Solos: Hansen, Wessel, Schlächter, Kusch, Schlächter, harmony: both, Hansen]

[Chorus]
Who do you think you are, to talk to me like this?
Who do you think you are? I got you on my list
Who do you think you are? You're talking much too loud
Who do you think you are? Get back into the crowdEmbed"
Mack The Knife (Single),Ella Fitzgerald,0,1960,"Ballad of the Easy Life Lyrics[MACHEATH, spoken]
A question please: Is that what you call living? Then take a little tip from Mack the Knife. While still a child, I heard it with misgiving: the bulging pocket makes the easy life. 
(sung)
They tell you that the best in life is mental
Just starve yourself and do a lot of reading
Up in some garret where the rats are breeding
Should you survive, it's purely accidental
If that's your pleasure, go on, live that way
But since I've had it up to here, I'm through
There's not a dog from here to Timbuktu
Would care to live that life a single day
So listen closely to Mack the Knife
The bulging pocket makes the easy life

Now once I used to think it might be worthy
To be a brave and sacrificing person
I soon found out it wasn't reimbursin'
Decided to continue being earthy
The noble poor are nobly underfed
And being brave will bring an empty fame
You're all alone with no one else to blame
You're mingling with the great but you are dead
Where's the percentage? Ask Mack the Knife
The bulging pocket makes the easy lifeYou might also likeEmbed"
Georgia On My Mind (Single),Ray Charles,0,1960,"Dixie Hummingbird LyricsOkay here's a song about my sweetheart down south
Now you might ask, ""is he a fox?"" oh, shut your mouth!
Now his mama taught him to be seen and not heard
So, when he's having a good time, oh he coo's like a
Bird
Well, he hails from Atlanta, he's got a soft southern
Style
And the way he's put together, holy mackrel, honey
Chile
He don't like conversation, no he's never been one to
Chat
But when he holds me close, Good Lord, he knows exactly
Where it's at
He gets down to the nitty gritty, he don't waste a lot
Of time
We start to spoon and pretty soon he's humming ""Georgia
On My Mind""
And then he makes those kinky little sounds in my ear
They're not in any dictionary but it's coming through
Loud and clear
When my baby says he loves me without a single word
He's my dixie hummingbird
Well now, he hardly ever speaks, I guess he never finds
The need
But you must admit that a thousand words don't stack up
To the deed
He lets his actions do the talking and he tries so hard
To please
And he's mighty fine, he's all mine and I'm his main
Squeeze
Yeah, he's really saying something with a language all
His own
Well, he may not know the words but he can really hum
Along
And then he makes those kinky little sounds in my ear
They're not in any dictionary but he's coming through
Loud and clear
When my baby says he loves me without a single word
He's my dixie hummingbird
When my baby says he loves me without a single word
He's my Dixie, he's my Dixie HummingbirdYou might also likeEmbed"
Are You Lonesome Tonight? (Single),Elvis Presley,0,1960,"The Glass Menagerie (Scene 7) LyricsA SOUVENIR

Half an hour later. Dinner is just being finished in the upstage area which is concealed by the drawn portières.
[As the curtain rises LAURA is still huddled upon the sofa, her feet drawn under her, her head resting on a pale blue pillow, her eyes wide and mysteriously watchful. The new floor lamp with its shade of rose-coloured silk gives a soft, becoming light to her face, bringing out the fragile, unearthly prettiness which usually escapes attention. There is a steady murmur of rain, but it is slackening and stops soon after the scene begins; the air outside becomes pale and luminous as the moon breaks out. A moment after the curtain rises, the lights in both rooms flicker and go out.]

JIM: Hey, there, Mr Light Bulb !

[AMANDA laughs nervously.

LEGEND: 'SUSPENSION OF A PUBLIC SERVICE! .]

AMANDA: Where was Moses when the lights went out? Ha-ha. Do you know the answer to that one, Mr O'Connor?

JIM: No, Ma'am, what's the answer?

AMANDA: In the dark!

[JIM laughs appreciatively.]

Everybody sit still. I'll light the candles. Isn't it lucky we have them on the table? Where's a match? Which of you gentlemen can provide a match?

JIM: Here.

AMANDA: Thank you, Sir.

JIM: Not at all, Ma'am!
AMANDA: I guess the fuse has burnt out. Mr O'Connor, can you tell a burnt-out fuse? I know I can't and Tom is a total loss when it comes to mechanics.

[SOUND: GETTING UP: VOICES RECEDE A LITTLE TO KITCHENETTE.]

Oh, be careful you don't bump into something. We don't want our gentleman caller to break his neck. Now wouldn't that be a fine howdy-do?

JIM: Ha-ha! Where is the fuse-box?

AMANDA: Right here next to the stove. Can you see anything?

JIM: just a minute.

AMANDA: Isn't electricity a mysterious thing? Wasn't it Benjamin Franklin who tied a key to a kite?
We live in such a mysterious universe, don't we? Some people say that science clears up all the mysteries for us. In my opinion it only creates more !
Have you found it yet?

JIM: No, Ma'am. All these fuses look okay to me.

AMANDA:Tom!

TOM: Yes, Mother?

AMANDA: That light bill I gave you several days ago. The one I told you we got the notices about?

[LEGEND: 'HA!']
TOM: Oh. - Yeah.

AMANDA: You didn't neglect to pay it by any chance?

TOM: Why, I -

AMANDA: Didn't ! I might have known it !

JIM: Shakespeare probably wrote a poem on that light bill, Mrs Wingfield.

AMANDA: I might have known better than to trust him with it! There's such a high price for negligence in this world!

JIM: Maybe the poem will win a ten-dollar prize.

AMANDA: We'll just have to spend the remainder of the evening in the nineteenth century, before Mr Edison made the Mazda lamp!

JIM: Candlelight is my favourite kind of light.

AMANDA: That shows you're romantic! But that's no excuse for Tom.
Well, we got through dinner. Very considerate of them to let us get through dinner before they plunged us into ever-lasting darkness, wasn't it, Mr O'Connor?

JIM: Ha-ha !

A M A N D A: Tom, as a penalty for your carelessness you can help me with the dishes.

JIM: Let me give you a hand.
A M A N D A: Indeed you will not !

JIM: I ought to be good for something.

AMANDA: Good for something? [Her tone is rhapsodic.] You? Why, Mr O'Connor, nobody, nobody's given me this much entertainment in years - as you have !

JIM: Aw, now, Mrs Wingfield !

AMANDA: I'm not exaggerating, not one bit! But Sister is all by her lonesome. You go keep her company in the parlour ! I'll give you this lovely old candelabrum that used to be on the altar at the church of the Heavenly Rest. It was melted a little out of shape when the church burnt down. Lightning struck it one spring.
Gypsy Jones was holding a revival at the time and he intimated that the church was destroyed because the Episcopalians gave card parties.

JIM: Ha-ha.

AMANDA: And how about you coaxing Sister to drink a little wine? I think it would be good for her ! Can you carry both at once?

JIM: Sure. I'm Superman!

AMANDA: Now, Thomas, get into this apron !

[The door of kitchenette swings closed on Amanda's gay laughter; the flickering light approaches the portières.
LAURA sits up nervously as he enters. Her speech at first is low and breathless from the almost intolerable strain of being alone with a stranger.
THE LEGEND: 'I DON'T SUPPOSE YOU REMEMBER ME AT ALL ! '
In her first speeches in this scene, before JIM's warmth overcomes her paralysing shyness, LAURA's voice is thin and breathless as though she has just run up a steep flight of stairs.
JIM's attitude is gently humorous. In playing this scene it should be stressed that while the incident is apparently unimportant, it is to LAURA the climax of her her secret life.]

JIM: Hello, there, Laura.

LAURA [faintly]: Hello. [She clears her throat.]

JIM: How are you feeling now? Better?

LAURA: Yes. Yes, thank you.

JIM: This is for you. A little dandelion wine. [He extends it toward her with extravagant gallantry.]

LAURA: Thank you.

JIM: Drink it - but don't get drunk!

[He laughs heartily. LAURA takes the glass uncertainly; laughs shyly.]

Where shall I set the candles?

LAURA: Oh - oh, anywhere. . . ,

JIM -. How about here on the floor? Any objections?

LAURA-No.

JIM: I'll spread a newspaper under to catch the drippings. I like to sit on the floor. Mind if I do?

LAURA: Oh, no.

JIM: Give me a pillow?

LAURA: What?

JIM: A pillow !

LAURA:Oh ... [Hands him one quickly.]

JIM: How about you? Don't you like to sit on the floor?

LAURA: Oh - yes.

JIM: Why don't you, then?

LAURA: I - Will.

JIM: Take a pillow ! [LAURA does. Sits on the other side of the candelabrum. JIM crosses his legs and smiles engagingly as her.] I can't hardly see you sitting way over there.

LAURA: I can - see you.

JIM: I know, but that's not fair, I'm in the limelight. [LAURA moves her pillow closer.] Good ! Now I can see you ! Comfortable?

LAURA: Yes.

JIM: So am I . Comfortable as a cow ! Will you have some gum?

LAURA: No, thank you.

JIM: I think that I will indulge, with your permission, [Musingly unwraps it and holds it up.] Think of the fortune made by the guy that invented the first piece of chewing gum. Amazing, huh? The Wrigley Building is one of the sights of Chicago. - I saw it summer before last when I went up to the Century of Progress. Did you take in the Century of Progress?

LAURA: No, I didn't.

JIM: Well, it was quite a wonderful exposition. What impressed me most was the Hall of Science. Gives you an idea of what the future will be in America, even more wonderful than the present time is! [Pause. Smiling at her.] Your brother tells me you're shy. Is that right, Laura?

LAURA: I - don't know.

JIM: I judge you to be an old-fashioned type of girl. Well, I think that's a pretty good type to be. Hope you don't think I'm being too personal - do you?

LAURA [hastily, out of embarrassment]: I believe I will take a piece of gum, if you - don't mind. [Clearing her throat.] Mr O'Connor, have you - kept up with your singing?

JIM: Singing? Me?

LAURA: Yes. I remember what a beautiful voice you had.

JIM: When did you hear me sing?

[VOICE OFF STAGE IN THE PAUSE]

Voice [off stage] : 0 blow, ye winds, heigh-ho,
